Date,Gender,Annual Income,Company,Model,Engine,Transmission,Color,Price,Body Style,Dealer_Region
1/3/2022,Male,566000,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,Hatchback,Greenville
1/3/2022,Male,1250000,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,Hatchback,Pasco
1/3/2022,Male,730000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,Hatchback,Scottsdale
1/3/2022,Male,4060000,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Austin
1/3/2022,Male,13500,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Middletown
1/3/2022,Male,1180000,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Aurora
1/3/2022,Male,1360000,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,Hardtop,Austin
1/3/2022,Female,640000,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,Hatchback,Scottsdale
1/3/2022,Male,615000,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,Hardtop,Middletown
1/3/2022,Male,520000,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,SUV,Middletown
1/4/2022,Male,1876000,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25600,Passenger,Janesville
1/4/2022,Male,13500,Volvo,C70,Overhead Camshaft,Manual,Black,17000,Hatchback,Scottsdale
1/4/2022,Male,13500,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,SUV,Austin
1/4/2022,Male,890000,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,Hatchback,Middletown
1/4/2022,Male,1800000,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,Passenger,Aurora
1/4/2022,Male,1330000,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,Hardtop,Janesville
1/4/2022,Male,393000,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,Hatchback,Janesville
1/4/2022,Male,440000,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,Hatchback,Austin
1/4/2022,Female,280000,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000,SUV,Middletown
1/4/2022,Male,1151000,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100,Sedan,Greenville
1/4/2022,Male,1650000,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,Hatchback,Pasco
1/4/2022,Male,13500,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,SUV,Janesville
1/4/2022,Male,895000,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,Passenger,Aurora
1/4/2022,Female,660000,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Sedan,Greenville
1/4/2022,Male,13500,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Pasco
1/5/2022,Male,1636000,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22600,SUV,Middletown
1/5/2022,Female,1000000,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,Passenger,Aurora
1/5/2022,Female,745000,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,SUV,Greenville
1/5/2022,Male,300000,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Sedan,Pasco
1/5/2022,Male,1097000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700,Passenger,Janesville
1/5/2022,Female,542000,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000,SUV,Scottsdale
1/5/2022,Male,1200000,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,Hatchback,Pasco
1/5/2022,Male,490000,Ford,Focus,Overhead Camshaft,Manual,Black,49000,Hardtop,Austin
1/5/2022,Male,410000,Audi,A6,Overhead Camshaft,Manual,Black,15000,SUV,Scottsdale
1/5/2022,Male,930000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,Hatchback,Austin
1/5/2022,Male,480000,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Hardtop,Greenville
1/5/2022,Female,1360000,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,Hatchback,Aurora
1/5/2022,Male,2200000,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,Sedan,Aurora
1/5/2022,Female,1100000,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,SUV,Greenville
1/5/2022,Male,13500,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,Hatchback,Pasco
1/5/2022,Male,1700000,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,Sedan,Janesville
1/5/2022,Male,1908000,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,Sedan,Scottsdale
1/5/2022,Male,13500,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Austin
1/5/2022,Male,13500,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,Sedan,Scottsdale
1/5/2022,Male,2550000,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Hatchback,Austin
1/5/2022,Male,1245000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,Sedan,Middletown
1/5/2022,Male,13500,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,Hardtop,Austin
1/5/2022,Male,1115000,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,Hardtop,Aurora
1/5/2022,Male,13500,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,SUV,Pasco
1/5/2022,Male,2110000,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,Passenger,Janesville
1/5/2022,Female,13500,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,SUV,Scottsdale
1/5/2022,Male,1050000,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,Hatchback,Austin
1/5/2022,Male,13500,Honda,Accord,Overhead Camshaft,Manual,Black,43000,Sedan,Janesville
1/5/2022,Female,13500,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,Sedan,Scottsdale
1/5/2022,Male,320000,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Austin
1/6/2022,Male,13500,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001,SUV,Austin
1/6/2022,Female,760000,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16001,Sedan,Middletown
1/6/2022,Male,1390000,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,SUV,Greenville
1/6/2022,Male,659000,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,Hardtop,Janesville
1/6/2022,Male,1330000,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Middletown
1/6/2022,Male,13500,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Aurora
1/6/2022,Female,13500,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000,Hatchback,Janesville
1/6/2022,Male,1362000,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,Hardtop,Pasco
1/6/2022,Male,480000,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,SUV,Middletown
1/6/2022,Female,365000,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,Sedan,Aurora
1/9/2022,Female,481000,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001,SUV,Aurora
1/9/2022,Male,700000,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62001,Hatchback,Greenville
1/9/2022,Male,1350000,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,SUV,Pasco
1/9/2022,Male,750000,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,SUV,Janesville
1/9/2022,Male,451000,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,Hardtop,Austin
1/9/2022,Female,650000,Ford,Focus,Overhead Camshaft,Manual,Black,49000,Hardtop,Janesville
1/9/2022,Male,700000,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,Hatchback,Austin
1/9/2022,Female,13500,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000,Hatchback,Middletown
1/9/2022,Female,1220000,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,Hatchback,Greenville
1/9/2022,Male,1300000,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Pasco
1/9/2022,Male,470000,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Janesville
1/9/2022,Female,1167500,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,Hatchback,Scottsdale
1/9/2022,Male,3000000,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Passenger,Austin
1/9/2022,Male,1900000,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,Hatchback,Middletown
1/9/2022,Female,1690000,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,SUV,Aurora
1/9/2022,Male,2800000,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,Sedan,Greenville
1/9/2022,Male,642000,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,Hardtop,Greenville
1/9/2022,Female,705000,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,Hatchback,Pasco
1/9/2022,Male,670000,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Passenger,Janesville
1/9/2022,Male,13500,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,Passenger,Scottsdale
1/10/2022,Female,1985000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28501,Hatchback,Scottsdale
1/10/2022,Male,1275000,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500,Hatchback,Aurora
1/10/2022,Male,13500,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,Passenger,Austin
1/10/2022,Male,1650000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,Sedan,Pasco
1/10/2022,Male,520500,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,Passenger,Austin
1/12/2022,Female,500000,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,SUV,Austin
1/12/2022,Male,1172500,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250,SUV,Middletown
1/12/2022,Male,441000,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,Sedan,Aurora
1/12/2022,Male,1310000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,Sedan,Greenville
1/12/2022,Male,13500,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Passenger,Pasco
1/12/2022,Male,1200000,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,SUV,Janesville
1/12/2022,Male,1680000,Acura,RL,Overhead Camshaft,Manual,Black,18000,SUV,Greenville
1/12/2022,Male,1340000,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,Passenger,Pasco
1/12/2022,Female,901000,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,SUV,Janesville
1/12/2022,Female,849500,Acura,RL,Overhead Camshaft,Manual,Pale White,26500,SUV,Scottsdale
1/12/2022,Male,13500,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,SUV,Austin
1/12/2022,Female,1071500,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150,Sedan,Middletown
1/12/2022,Male,1740000,Saab,5-Sep,Overhead Camshaft,Manual,Pale White,28000,Hatchback,Janesville
1/12/2022,Male,13500,Honda,Civic,Overhead Camshaft,Manual,Black,43000,Hatchback,Scottsdale
1/12/2022,Male,1700000,BMW,528i,Overhead Camshaft,Manual,Pale White,25000,SUV,Austin
1/12/2022,Male,1100000,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,Sedan,Middletown
1/12/2022,Male,13500,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,Sedan,Aurora
1/12/2022,Male,2155000,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,60500,Passenger,Greenville
1/12/2022,Male,13500,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,Passenger,Janesville
1/12/2022,Male,13500,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Hatchback,Scottsdale
1/12/2022,Male,661000,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,44000,Hatchback,Austin
1/12/2022,Female,13500,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,71000,Passenger,Middletown
1/12/2022,Male,13500,Ford,Mustang,Overhead Camshaft,Manual,Pale White,25000,Hatchback,Aurora
1/12/2022,Male,2750000,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000,Hatchback,Greenville
1/12/2022,Male,13500,Ford,Expedition,Overhead Camshaft,Manual,Pale White,22000,SUV,Middletown
1/12/2022,Male,13500,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,Hardtop,Middletown
1/12/2022,Female,13500,Ford,Focus,Overhead Camshaft,Manual,Black,49000,Hardtop,Greenville
1/12/2022,Male,950000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Passenger,Pasco
1/12/2022,Female,715000,BMW,528i,Overhead Camshaft,Manual,Black,21000,SUV,Janesville
1/12/2022,Female,13500,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,Hardtop,Scottsdale
1/13/2022,Female,847000,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,16000,SUV,Scottsdale
1/13/2022,Female,13500,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,SUV,Austin
1/13/2022,Male,1176500,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11650,Sedan,Middletown
1/13/2022,Male,955000,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,Sedan,Aurora
1/13/2022,Male,800000,Saturn,SW,Overhead Camshaft,Manual,Black,36000,Passenger,Aurora
1/13/2022,Male,13500,Lincoln,Continental,Overhead Camshaft,Manual,Pale White,82000,Passenger,Greenville
1/13/2022,Female,13500,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,Sedan,Pasco
1/13/2022,Male,626800,Nissan,Pathfinder,Overhead Camshaft,Manual,Pale White,11800,Hardtop,Austin
1/13/2022,Male,2115000,Toyota,RAV4,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,Hatchback,Pasco
1/13/2022,Male,2810000,Mercury,Villager,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,Passenger,Janesville
1/13/2022,Male,13500,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,Passenger,Scottsdale
1/13/2022,Male,13500,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,Passenger,Austin
1/13/2022,Male,1589000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16900,Passenger,Pasco
1/13/2022,Male,1385000,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,Passenger,Janesville
1/13/2022,Male,2000000,Mercedes-B,C-Class,DoubleÂ Overhead Camshaft,Auto,Black,14000,Hatchback,Scottsdale
1/13/2022,Male,951000,Toyota,Sienna,Overhead Camshaft,Manual,Black,16000,Passenger,Austin
1/13/2022,Male,1390000,Volvo,S70,Overhead Camshaft,Manual,Black,22000,Hardtop,Austin
1/13/2022,Male,2320000,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Middletown
1/13/2022,Female,2752000,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14200,SUV,Aurora
1/13/2022,Male,655000,Saturn,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,51000,Sedan,Greenville
1/17/2022,Male,890000,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,19000,Hatchback,Greenville
1/17/2022,Male,1330000,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Pasco
1/17/2022,Male,13500,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,32000,Passenger,Janesville
1/17/2022,Male,900000,Dodge,Ram Van,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Scottsdale
1/17/2022,Male,570000,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14000,Sedan,Scottsdale
1/17/2022,Male,715000,Audi,A6,Overhead Camshaft,Manual,Black,25000,SUV,Austin
1/17/2022,Female,630000,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Janesville
1/17/2022,Female,700500,Mercedes-B,S-Class,DoubleÂ Overhead Camshaft,Auto,Black,39500,SUV,Scottsdale
1/17/2022,Male,2130000,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Black,39000,Sedan,Middletown
1/17/2022,Male,13500,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Black,31000,SUV,Aurora
1/17/2022,Male,2950000,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,41000,Hatchback,Greenville
1/17/2022,Male,2150000,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Pasco
1/17/2022,Female,1700000,Ford,Mustang,Overhead Camshaft,Manual,Black,22000,Hatchback,Middletown
1/17/2022,Male,13500,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,SUV,Aurora
1/17/2022,Male,1540000,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,21000,Passenger,Greenville
1/17/2022,Male,1300000,Mercedes-B,SLK,Overhead Camshaft,Manual,Black,26000,Passenger,Pasco
1/17/2022,Male,960000,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Sedan,Pasco
1/17/2022,Male,13500,Pontiac,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,SUV,Janesville
1/17/2022,Male,1810000,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,Hatchback,Scottsdale
1/17/2022,Male,1130000,Saturn,SC,DoubleÂ Overhead Camshaft,Auto,Black,33000,Hardtop,Middletown
1/19/2022,Male,1090000,Mercury,Sable,Overhead Camshaft,Manual,Pale White,61000,Sedan,Austin
1/19/2022,Male,500000,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Black,21000,SUV,Middletown
1/19/2022,Female,1700000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,16000,Sedan,Austin
1/19/2022,Male,860000,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Hatchback,Middletown
1/19/2022,Male,13500,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,27000,Hatchback,Janesville
1/19/2022,Male,2035000,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,13500,Hatchback,Scottsdale
1/19/2022,Male,1372500,Nissan,Xterra,DoubleÂ Overhead Camshaft,Auto,Black,9250,Passenger,Janesville
1/19/2022,Male,1800000,Ford,Mustang,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Scottsdale
1/19/2022,Male,1250000,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,32000,Hatchback,Middletown
1/19/2022,Male,1175000,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,29500,Sedan,Aurora
1/21/2022,Male,1100000,Mercury,Villager,Overhead Camshaft,Manual,Pale White,14000,Passenger,Aurora
1/21/2022,Male,1315000,Nissan,Frontier,DoubleÂ Overhead Camshaft,Auto,Pale White,18501,Hatchback,Greenville
1/21/2022,Female,480000,Acura,RL,Overhead Camshaft,Manual,Pale White,17001,SUV,Pasco
1/21/2022,Female,423500,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,12500,SUV,Janesville
1/21/2022,Female,13500,BMW,528i,Overhead Camshaft,Manual,Black,21000,SUV,Scottsdale
1/21/2022,Male,13500,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,SUV,Aurora
1/21/2022,Male,653000,Ford,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Black,11000,Passenger,Greenville
1/21/2022,Male,13500,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,20000,Hatchback,Pasco
1/21/2022,Male,2862000,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21200,Sedan,Janesville
1/21/2022,Male,2180000,Toyota,Camry,Overhead Camshaft,Manual,Black,29000,Hatchback,Scottsdale
1/21/2022,Male,13500,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,Passenger,Austin
1/21/2022,Male,1500000,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Hatchback,Middletown
1/21/2022,Male,1190000,Volvo,S40,Overhead Camshaft,Manual,Black,36000,Sedan,Aurora
1/21/2022,Female,920000,Lincoln,Navigator,DoubleÂ Overhead Camshaft,Auto,Black,19000,Sedan,Greenville
1/21/2022,Male,320000,Nissan,Frontier,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Hatchback,Pasco
1/21/2022,Male,690000,Chevrolet,Prizm,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Hardtop,Janesville
1/21/2022,Male,13500,Toyota,Tacoma,Overhead Camshaft,Manual,Pale White,24000,Hardtop,Middletown
1/21/2022,Male,905000,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,Passenger,Scottsdale
1/21/2022,Male,13500,Ford,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,Passenger,Austin
1/21/2022,Female,1180000,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Hatchback,Middletown
